% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Second        Lat(deg)        Lon(deg)     Height(m)    ZTD(m)  nSat   GDOP    PDOP
2015      19    4230.000    42.556095830    23.394735637     1119.4445    2.1099    5  4.7475  3.8596
2015      19    4260.000    42.556095837    23.394735623     1119.4442    2.1092    5  4.7497  3.8616
2015      19    4290.000    42.556095840    23.394735614     1119.4444    2.1083    5  4.7517  3.8636
2015      19    4320.000    42.556095851    23.394735594     1119.4443    2.1075    5  4.7535  3.8654
2015      19    4350.000    42.556095852    23.394735601     1119.4464    2.1066    5  4.7551  3.8671
2015      19    4380.000    42.556095856    23.394735592     1119.4465    2.1065    5  4.7566  3.8686
2015      19    4410.000    42.556095864    23.394735575     1119.4453    2.1060    5  4.7578  3.8701
2015      19    4440.000    42.556095867    23.394735573     1119.4453    2.1057    5  4.7589  3.8714
2015      19    4470.000    42.556095873    23.394735571     1119.4435    2.1055    5  4.7598  3.8726
2015      19    4500.000    42.556095876    23.394735565     1119.4433    2.1038    5  4.7605  3.8737
2015      19    4530.000    42.556095876    23.394735575     1119.4456    2.1018    5  4.7610  3.8746
2015      19    4560.000    42.556095879    23.394735569     1119.4456    2.1009    5  4.7613  3.8754
2015      19    4590.000    42.556095877    23.394735564     1119.4463    2.1014    5  4.7614  3.8760
2015      19    4620.000    42.556095872    23.394735578     1119.4493    2.1017    5  4.7613  3.8765
2015      19    4650.000    42.556095873    23.394735580     1119.4514    2.1021    5  4.7610  3.8768
2015      19    4680.000    42.556095869    23.394735585     1119.4527    2.1035    5  4.7605  3.8770
2015      19    4710.000    42.556095866    23.394735587     1119.4539    2.1037    5  4.7597  3.8771
2015      19    4740.000    42.556095863    23.394735591     1119.4538    2.1038    5  4.7587  3.8769
2015      19    4770.000    42.556095860    23.394735592     1119.4530    2.1039    5  4.7575  3.8766
2015      19    4800.000    42.556095855    23.394735601     1119.4525    2.1043    5  4.7560  3.8762
2015      19    4830.000    42.556095850    23.394735606     1119.4533    2.1047    5  4.7543  3.8756
2015      19    4860.000    42.556095851    23.394735602     1119.4546    2.1049    5  4.7524  3.8748
2015      19    4890.000    42.556095848    23.394735601     1119.4562    2.1052    5  4.7503  3.8738
2015      19    4920.000    42.556095846    23.394735604     1119.4577    2.1052    5  4.7479  3.8727
