% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Second         dn(m)         de(m)         du(m)    ZTD(m)  nSat   GDOP    PDOP
2015      19    5850.000   5093002.049   3672002.614   1047508.553     2.342    7   2.038   1.843
2015      19    5880.000   5093002.048   3672002.615   1047508.553     2.342    7   2.040   1.844
2015      19    5910.000   5093002.056   3672002.609   1047508.540     2.342    7   2.041   1.845
2015      19    5940.000   5093002.058   3672002.607   1047508.536     2.342    7   2.042   1.846
2015      19    5970.000   5093002.067   3672002.599   1047508.521     2.342    7   2.044   1.846
2015      19    6000.000   5093002.083   3672002.584   1047508.494     2.343    7   2.045   1.847
2015      19    6030.000   5093002.099   3672002.569   1047508.472     2.343    7   2.046   1.848
2015      19    6060.000   5093002.111   3672002.557   1047508.454     2.343    7   2.047   1.849
2015      19    6090.000   5093002.116   3672002.553   1047508.445     2.343    7   2.048   1.850
2015      19    6120.000   5093002.129   3672002.540   1047508.424     2.343    7   2.049   1.850
2015      19    6150.000   5093002.143   3672002.527   1047508.404     2.343    7   2.050   1.851
2015      19    6180.000   5093002.156   3672002.514   1047508.386     2.343    7   2.051   1.851
2015      19    6210.000   5093002.162   3672002.509   1047508.376     2.343    7   2.051   1.852
2015      19    6240.000   5093002.171   3672002.500   1047508.362     2.343    7   2.052   1.852
2015      19    6270.000   5093002.184   3672002.487   1047508.340     2.343    7   2.053   1.853
2015      19    6300.000   5093002.196   3672002.477   1047508.320     2.344    7   2.054   1.853
2015      19    6330.000   5093002.195   3672002.479   1047508.321     2.343    7   2.054   1.854
2015      19    6360.000   5093002.188   3672002.485   1047508.331     2.343    7   2.055   1.854
2015      19    6390.000   5093002.197   3672002.476   1047508.318     2.343    7   2.055   1.854
2015      19    6420.000   5093002.202   3672002.472   1047508.309     2.343    7   2.055   1.854
2015      19    6450.000   5093002.203   3672002.471   1047508.307     2.343    7   2.056   1.855
2015      19    6480.000   5093002.207   3672002.468   1047508.301     2.342    7   2.056   1.855
2015      19    6510.000   5093002.216   3672002.459   1047508.284     2.343    7   2.056   1.855
2015      19    6540.000   5093002.217   3672002.458   1047508.281     2.343    7   2.056   1.855
2015      19    6570.000   5093002.229   3672002.448   1047508.264     2.343    7   2.056   1.855
2015      19    6600.000   5093002.243   3672002.435   1047508.240     2.343    7   2.057   1.855
2015      19    6630.000   5093002.254   3672002.424   1047508.226     2.343    7   2.056   1.855
2015      19    6660.000   5093002.263   3672002.415   1047508.210     2.343    7   2.056   1.854
2015      19    6690.000   5093002.272   3672002.407   1047508.195     2.343    7   2.056   1.854
2015      19    6720.000   5093002.279   3672002.400   1047508.184     2.343    7   2.056   1.854
2015      19    6750.000   5093002.287   3672002.394   1047508.171     2.343    7   2.056   1.854
2015      19    6780.000   5093002.301   3672002.381   1047508.150     2.343    7   2.056   1.853
2015      19    6810.000   5093002.306   3672002.375   1047508.141     2.344    7   2.055   1.853
2015      19    6840.000   5093002.310   3672002.372   1047508.134     2.344    7   2.055   1.852
2015      19    6870.000   5093002.315   3672002.368   1047508.125     2.344    7   2.054   1.852
2015      19    6900.000   5093002.311   3672002.372   1047508.128     2.345    7   2.054   1.851
2015      19    6930.000   5093002.324   3672002.359   1047508.109     2.345    7   2.053   1.851
2015      19    6960.000   5093002.341   3672002.343   1047508.083     2.345    7   2.053   1.850
2015      19    6990.000   5093002.337   3672002.346   1047508.090     2.345    7   2.052   1.850
2015      19    7020.000   5093002.347   3672002.338   1047508.075     2.345    7   2.051   1.849
2015      19    7050.000   5093002.350   3672002.335   1047508.069     2.345    7   2.050   1.848
2015      19    7080.000   5093002.348   3672002.337   1047508.073     2.345    7   2.049   1.847
2015      19    7110.000   5093002.358   3672002.327   1047508.058     2.345    7   2.048   1.847
2015      19    7140.000   5093002.370   3672002.315   1047508.040     2.346    7   2.048   1.846
2015      19    7170.000   5093002.377   3672002.309   1047508.030     2.346    7   2.046   1.845
2015      19    7200.000   5093002.386   3672002.300   1047508.014     2.346    7   2.045   1.844
2015      19    7230.000   5093002.398   3672002.289   1047507.997     2.346    7   2.044   1.843
2015      19    7260.000   5093002.400   3672002.287   1047507.994     2.345    7   2.043   1.842
2015      19    7290.000   5093002.402   3672002.284   1047507.992     2.346    7   2.042   1.841
2015      19    7320.000   5093002.422   3672002.265   1047507.963     2.346    7   2.041   1.840
2015      19    7350.000   5093002.430   3672002.258   1047507.954     2.346    7   2.039   1.839
2015      19    7380.000   5093002.437   3672002.250   1047507.943     2.346    7   2.038   1.837
2015      19    7410.000   5093002.436   3672002.251   1047507.946     2.346    7   2.037   1.836
2015      19    7440.000   5093002.451   3672002.236   1047507.924     2.346    7   2.035   1.835
2015      19    7470.000   5093002.457   3672002.230   1047507.917     2.346    8   1.835   1.665
2015      19    7500.000   5093002.465   3672002.222   1047507.904     2.346    8   1.837   1.666
2015      19    7530.000   5093002.464   3672002.223   1047507.908     2.346    8   1.839   1.668
2015      19    7560.000   5093002.474   3672002.213   1047507.892     2.346    7   1.915   1.750
2015      19    7590.000   5093002.481   3672002.206   1047507.882     2.346    7   1.916   1.750
2015      19    7620.000   5093002.495   3672002.193   1047507.862     2.346    7   1.916   1.750
2015      19    7650.000   5093002.505   3672002.184   1047507.848     2.346    7   1.917   1.751
2015      19    7680.000   5093002.514   3672002.175   1047507.834     2.346    7   1.917   1.751
2015      19    7710.000   5093002.519   3672002.170   1047507.827     2.346    7   1.917   1.751
2015      19    7740.000   5093002.524   3672002.165   1047507.821     2.346    7   1.918   1.751
2015      19    7770.000   5093002.528   3672002.160   1047507.814     2.346    7   1.918   1.751
2015      19    7800.000   5093002.529   3672002.160   1047507.813     2.346    7   1.918   1.750
2015      19    7830.000   5093002.530   3672002.159   1047507.812     2.346    7   1.918   1.750
2015      19    7860.000   5093002.528   3672002.161   1047507.815     2.346    7   1.918   1.750
2015      19    7890.000   5093002.525   3672002.163   1047507.819     2.346    7   1.918   1.750
2015      19    7920.000   5093002.521   3672002.168   1047507.825     2.346    7   1.918   1.750
2015      19    7950.000   5093002.520   3672002.169   1047507.825     2.346    7   1.918   1.749
2015      19    7980.000   5093002.528   3672002.161   1047507.815     2.346    7   1.918   1.749
2015      19    8010.000   5093002.532   3672002.157   1047507.809     2.346    7   1.918   1.749
2015      19    8040.000   5093002.534   3672002.155   1047507.807     2.346    6   2.066   1.868
2015      19    8070.000   5093002.536   3672002.153   1047507.804     2.345    6   2.069   1.871
