% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Secondstatic
% Year   Doy      Second         dn(m)         de(m)         du(m)    ZTD(m)  nSat   GDOP    PDOP
2017      73   45502.000        -0.749        -0.203        -0.270     2.467    9   1.972   1.732
2017      73   45503.000        -0.752        -0.200        -0.264     2.469    9   1.972   1.732
2017      73   45504.000        -0.754        -0.196        -0.257     2.471    9   1.972   1.732
2017      73   45505.000        -0.752        -0.192        -0.253     2.473    9   1.972   1.732
2017      73   45506.000        -0.751        -0.191        -0.252     2.474    9   1.972   1.732
2017      73   45507.000        -0.746        -0.187        -0.254     2.475    9   1.973   1.732
2017      73   45508.000        -0.743        -0.184        -0.255     2.476    9   1.973   1.733
2017      73   45509.000        -0.737        -0.181        -0.258     2.477    9   1.973   1.733
2017      73   45510.000        -0.731        -0.175        -0.259     2.478    9   1.973   1.733
2017      73   45511.000        -0.721        -0.170        -0.261     2.480    9   1.974   1.733
2017      73   45512.000        -0.715        -0.166        -0.258     2.482    9   1.974   1.733
2017      73   45513.000        -0.710        -0.165        -0.255     2.485    9   1.974   1.734
2017      73   45514.000        -0.709        -0.165        -0.250     2.487    9   1.974   1.734
2017      73   45515.000        -0.704        -0.160        -0.247     2.490    9   1.974   1.734
2017      73   45516.000        -0.702        -0.157        -0.242     2.492    9   1.975   1.734
2017      73   45517.000        -0.701        -0.155        -0.235     2.494    9   1.975   1.734
2017      73   45518.000        -0.701        -0.152        -0.225     2.496    9   1.975   1.734
2017      73   45519.000        -0.698        -0.151        -0.216     2.499    9   1.975   1.735
2017      73   45520.000        -0.691        -0.148        -0.211     2.501    9   1.976   1.735
2017      73   45522.000        -0.687        -0.145        -0.203     2.504    9   1.976   1.735
2017      73   45523.000        -0.681        -0.144        -0.196     2.506    9   1.976   1.735
2017      73   45524.000        -0.667        -0.139        -0.192     2.509    9   1.977   1.736
2017      73   45525.000        -0.661        -0.134        -0.186     2.512    9   1.977   1.736
2017      73   45526.000        -0.655        -0.132        -0.180     2.515    9   1.977   1.736
2017      73   45527.000        -0.651        -0.132        -0.175     2.518    9   1.977   1.736
2017      73   45528.000        -0.641        -0.129        -0.171     2.520    9   1.977   1.736
2017      73   45529.000        -0.633        -0.126        -0.165     2.522    9   1.978   1.737
2017      73   45530.000        -0.625        -0.123        -0.161     2.523    9   1.978   1.737
2017      73   45531.000        -0.623        -0.124        -0.155     2.525    9   1.978   1.737
2017      73   45532.000        -0.618        -0.120        -0.147     2.526    9   1.978   1.737
2017      73   45533.000        -0.615        -0.121        -0.140     2.528    9   1.979   1.737
2017      73   45534.000        -0.613        -0.119        -0.134     2.529    9   1.979   1.737
2017      73   45535.000        -0.610        -0.116        -0.130     2.530    9   1.979   1.738
2017      73   45536.000        -0.610        -0.117        -0.128     2.530    9   1.979   1.738
2017      73   45537.000        -0.601        -0.111        -0.127     2.530    9   1.979   1.738
2017      73   45538.000        -0.592        -0.109        -0.124     2.530    9   1.980   1.738
2017      73   45539.000        -0.582        -0.105        -0.125     2.529    9   1.980   1.738
2017      73   45540.000        -0.572        -0.102        -0.124     2.529    9   1.980   1.739
2017      73   45541.000        -0.561        -0.100        -0.125     2.528    9   1.980   1.739
2017      73   45542.000        -0.549        -0.098        -0.128     2.527    9   1.981   1.739
2017      73   45543.000        -0.533        -0.093        -0.132     2.526    9   1.981   1.739
2017      73   45544.000        -0.519        -0.088        -0.138     2.524    9   1.981   1.739
2017      73   45545.000        -0.503        -0.083        -0.143     2.523    9   1.981   1.739
2017      73   45546.000        -0.486        -0.080        -0.148     2.521    9   1.981   1.740
2017      73   45547.000        -0.476        -0.077        -0.149     2.519    9   1.982   1.740
2017      73   45548.000        -0.464        -0.074        -0.153     2.517    9   1.982   1.740
2017      73   45549.000        -0.453        -0.070        -0.157     2.514    9   1.982   1.740
2017      73   45550.000        -0.445        -0.067        -0.161     2.511    9   1.982   1.740
2017      73   45551.000        -0.432        -0.063        -0.167     2.508    9   1.983   1.741
2017      73   45552.000        -0.418        -0.059        -0.171     2.505    9   1.983   1.741
2017      73   45553.000        -0.406        -0.057        -0.175     2.502    9   1.983   1.741
2017      73   45554.000        -0.393        -0.054        -0.180     2.499    9   1.983   1.741
2017      73   45555.000        -0.380        -0.050        -0.186     2.496    9   1.984   1.741
2017      73   45556.000        -0.369        -0.051        -0.191     2.493    9   1.984   1.741
2017      73   45557.000        -0.357        -0.052        -0.202     2.488    9   1.984   1.742
2017      73   45558.000        -0.344        -0.048        -0.213     2.482    9   1.984   1.742
2017      73   45559.000        -0.329        -0.047        -0.223     2.477    9   1.984   1.742
2017      73   45560.000        -0.312        -0.043        -0.234     2.472    9   1.985   1.742
2017      73   45561.000        -0.296        -0.042        -0.245     2.467    9   1.985   1.742
2017      73   45562.000        -0.280        -0.038        -0.257     2.461    9   1.985   1.743
2017      73   45563.000        -0.266        -0.034        -0.266     2.456    9   1.985   1.743
2017      73   45564.000        -0.249        -0.030        -0.277     2.451    9   1.986   1.743
2017      73   45565.000        -0.233        -0.028        -0.287     2.446    9   1.986   1.743
2017      73   45566.000        -0.216        -0.023        -0.299     2.441    9   1.986   1.743
2017      73   45567.000        -0.197        -0.019        -0.311     2.436    9   1.986   1.743
2017      73   45568.000        -0.178        -0.012        -0.322     2.431    9   1.986   1.744
2017      73   45569.000        -0.156        -0.006        -0.335     2.426    9   1.987   1.744
2017      73   45570.000        -0.137        -0.002        -0.346     2.421    9   1.987   1.744
2017      73   45571.000        -0.118        -0.000        -0.355     2.417    9   1.987   1.744
2017      73   45572.000        -0.095         0.006        -0.366     2.412    9   1.987   1.744
